id,time0
r_0648,0
r_0649,0
r_0650,0
r_0651,-1.518950709
r_0653,0
r_0654,0
r_0655,0
r_0656,0
r_0657,0
r_0658,0
r_0659,0
r_0660,0
r_0661,0
r_0662,0
r_0663,0
r_0665,-4.30E-08
r_0666,-4.30E-08
r_0667,-4.30E-08
r_0668,-4.30E-08
r_0669,0
r_0670,0
r_0671,0
r_0672,0
r_0673,0
r_0674,-0.799026066
r_0675,0
r_0676,-2.84E-08
r_0678,0
r_0679,0
r_0680,0
r_0681,0
r_0682,0
r_0683,0
r_0684,0
r_0685,0.209193886
r_0687,0
r_0688,0
r_0689,0
r_0690,0
r_0692,0
r_0693,0
r_0694,0
r_0695,0
r_0696,0
r_0697,0
r_0698,0
r_0699,0
r_0700,0
r_0701,0
r_0702,0
r_0703,0
r_0704,0
r_0705,0
r_0706,0
r_0707,0
r_0708,-3.27E-14
r_0709,0
r_0710,0
r_0711,0
r_0712,0
r_0713,0
r_0714,0
r_0715,0
r_0716,0
r_0717,0
r_0718,0
r_0719,0
r_0720,0
r_0721,0
r_0722,0
r_0723,0.004197923
r_0725,-3.21E-23
r_0726,-3.27E-14
r_0727,0
r_0728,0.640679774
r_0729,0
r_0731,0
r_0732,0
r_0733,0
r_0734,0
r_0735,0
r_0736,0
r_0737,0
r_0738,0
r_0739,0
r_0740,0
r_0741,0
r_0742,0
r_0743,0
r_0744,0
r_0745,2.23E-07
r_0746,0
r_0747,0
r_0748,0
r_0749,0
r_0750,0
r_0751,0
r_0752,0
r_0753,0
r_0754,0
r_0755,0
r_0756,0
r_0757,0
r_0758,0
r_0759,0
r_0760,0
r_0761,0
r_0762,0
r_0763,0
r_0764,0
r_0765,0
r_0766,0
r_0767,-3.74E-08
r_0768,0
r_0769,0
r_0770,0
r_0771,0
r_0772,0
r_0773,0
r_0774,0
r_0775,0
r_0776,0
r_0777,0
r_0778,0
r_0779,0
r_0780,0
r_0781,0
r_0782,0
r_0783,1.12E-07
r_0784,0
r_0785,0
r_0786,0
r_0787,0
r_0788,0
r_0789,0
r_0790,0
r_0791,0
r_0792,0
r_0793,0
r_0794,0
r_0795,0
r_0796,0
r_0797,0
r_0798,0
r_0799,0
r_0800,0
r_0801,0
r_0802,0
r_0803,0
r_0804,-2.23E-07
r_0805,0
r_0806,0
r_0807,0
r_0808,0
r_0809,0
r_0810,0
r_0811,0
r_0812,0
r_0813,0
r_0814,0
r_0815,0
r_0816,0
r_0817,0
r_0818,0
r_0819,0
r_0820,0
r_0821,0
r_0822,0
r_0823,0
r_0824,0
r_0825,0
r_0826,0
r_0827,0
r_0828,0
r_0829,0
r_0830,0
r_0831,0
r_0832,0
r_0833,0
r_0834,0
r_0835,0
r_0836,0
r_0837,0
r_0838,0
r_0839,0
r_0840,0
r_0841,0
r_0842,0
r_0843,0
r_0844,0
r_0845,0
r_0846,-3.74E-08
r_0847,0
r_0848,0
r_0849,3.74E-08
r_0850,3.74E-08
r_0851,0
r_0852,0
r_0853,0
r_0854,0
r_0855,0
r_0856,0
r_0857,0
r_0858,0
r_0859,1.80E-08
r_0860,0
r_0861,2.23E-07
r_0862,0
r_0863,0
r_0864,0
r_0865,0
r_0866,0.012593786
r_0867,0
r_0868,0
r_0869,0
r_0870,0
r_0871,0
r_0872,0
r_0873,0
r_0874,0
r_0875,0
r_0876,0
r_0877,0
r_0878,0
r_0879,0
r_0880,0
r_0881,0
r_0882,0
r_0883,0
r_0884,0
r_0885,0
r_0886,0
r_0887,0
r_0888,0
r_0889,-2.23E-07
r_0890,-2.23E-07
r_0891,-2.23E-07
r_0892,-2.23E-07
r_0893,2.23E-07
r_0894,0
r_0895,0
r_0896,0
r_0897,0
r_0898,0
r_0901,0
r_0902,-0.00944536
r_0903,0
r_0904,1.29E-08
r_0905,0
r_0906,0
r_0907,0
r_0908,0
r_0909,0
r_0910,0
r_0911,0
r_0912,0
r_0913,-4.30E-08
r_0914,-2.23E-07
r_0915,-2.23E-07
r_0916,2.23E-07
r_0917,0
r_0918,2.23E-07
r_0919,-1.12E-07
r_0920,0
r_0921,0
r_0922,0
r_0923,0
r_0924,0
r_0925,0
r_0926,0
r_0927,0
r_0928,0
r_0929,0
r_0930,0
r_0931,0
r_0932,0
r_0934,0
r_0935,0
r_0936,0
r_0937,-4.30E-08
r_0938,0.415397745
r_0939,-1.518950727
r_0940,-1.934348472
r_0941,2.04E-07
r_0942,2.04E-07
r_0943,0
r_0944,0
r_0945,-0.152684365
r_0946,0.152684358
r_0947,0
r_0948,0
r_0949,0
r_0950,0
r_0951,0
r_0952,0
r_0953,0
r_0954,0
r_0955,0
r_0956,0
r_0957,0
r_0958,0
r_0959,9.59E-08
r_0960,9.59E-08
r_0961,-3.74E-08
