id,time0
r_0556,-0.015738594
r_0557,0.015738594
r_0558,8.36E-19
r_0559,-8.36E-19
r_0560,0
r_0561,0
r_0562,0
r_0563,0
r_0564,0
r_0565,0
r_0566,0
r_0567,0
r_0568,0
r_0570,0.524619876
r_0571,0
r_0572,-4.333623285
r_0573,-2.04E-07
r_0574,2.04E-07
r_0575,0
r_0576,0.543439155
r_0577,0
r_0578,-0.37669873
r_0579,0.535112206
r_0580,0
r_0581,0
r_0582,0
r_0583,0
r_0584,11.76204265
r_0586,4.33E-32
r_0587,0
r_0588,0
r_0589,0
r_0590,0.524619841
r_0591,0
r_0592,0
r_0593,0
r_0594,0
r_0595,0
r_0596,1.80E-08
r_0597,0
r_0598,-1.80E-08
r_0599,0
r_0600,0
r_0601,0
r_0602,0
r_0603,0
r_0604,-1.19E-08
r_0605,-1.19E-08
r_0606,0
r_0607,0
r_0608,0
r_0609,0
r_0610,0
r_0611,-0.010492396
r_0612,0
r_0613,0
r_0614,0.349746517
r_0615,0
r_0616,0
r_0617,0.5246198
r_0618,0
r_0619,0
r_0620,0
r_0621,0
r_0622,4.47E-32
r_0623,-1.72E-08
r_0624,8.60E-09
r_0625,0
r_0626,0
r_0627,0
r_0628,0
r_0629,0
r_0630,0
r_0631,0
r_0632,-0.433239689
r_0633,0
r_0634,0
r_0635,0
r_0636,0
r_0637,0
r_0638,0
r_0639,0
r_0640,0.041969598
r_0641,3.20170118
r_0642,3.20170118
r_0643,0
r_0644,0
r_0645,0
r_0646,-0.031477271
r_0647,0
r_0648,0
r_0649,0
r_0650,0
r_0651,-2.559117238
r_0653,0
r_0654,0
r_0655,1.38E-08
r_0656,0
r_0657,0
r_0658,0
r_0659,0
r_0660,0
r_0661,0
r_0662,0
r_0663,0
r_0665,-4.30E-08
r_0666,-4.30E-08
r_0667,-4.30E-08
r_0668,-4.30E-08
r_0669,0
r_0670,0
r_0671,0
r_0672,0
r_0673,0
r_0674,-0.543439155
r_0675,0
r_0676,-2.84E-08
r_0678,0
r_0679,0
r_0680,0
r_0681,0
r_0682,0
r_0683,0
r_0684,0
r_0685,0.376698675
r_0687,0
r_0688,0
r_0689,0
r_0690,0
r_0692,0
r_0693,0
r_0694,0
r_0695,0
r_0696,0
r_0697,0
r_0698,3.44E-08
r_0699,0
r_0700,0
r_0701,0
r_0702,0
r_0703,0
r_0704,0
r_0705,0
r_0706,0
r_0707,0
r_0708,0
r_0709,0
r_0710,0
r_0711,0
r_0712,0
r_0713,0
r_0714,0
r_0715,0
r_0716,0
r_0717,0
r_0718,1.72E-09
r_0719,1.72E-09
r_0720,1.72E-09
r_0721,1.72E-09
r_0722,0
r_0723,0
r_0725,0
r_0726,0
r_0727,0
r_0728,1.074213651
r_0729,0
r_0731,0
r_0732,0
r_0733,0
r_0734,0
r_0735,0
r_0736,0
r_0737,0
r_0738,0
r_0739,0
r_0740,0
r_0741,-1.38E-08
r_0742,0
r_0743,0
r_0744,0
r_0745,0
r_0746,0
r_0747,0
r_0748,0
r_0749,0
r_0750,0
r_0751,0
r_0752,0
r_0753,0
r_0754,0
r_0755,0
r_0756,0
r_0757,0
r_0758,0
r_0759,0
r_0760,0
r_0761,0
r_0762,0
r_0763,0
r_0764,0
r_0765,0
r_0766,0
r_0767,-3.74E-08
r_0768,0
r_0769,0
r_0770,0
r_0771,0
r_0772,0
r_0773,0
r_0774,0
r_0775,0
r_0776,0
r_0777,0
r_0778,0
r_0779,0
r_0780,0
r_0781,0
r_0782,0
r_0783,1.12E-07
r_0784,0
r_0785,0
r_0786,0
r_0787,0
r_0788,0
r_0789,0
r_0790,0
r_0791,0
r_0792,0
r_0793,0
r_0794,0
r_0795,1.72E-09
r_0796,0
r_0797,0
r_0798,0
r_0799,0
r_0800,0
r_0801,0
r_0802,0
r_0803,0
r_0804,0
r_0805,0
r_0806,0
r_0807,0
r_0808,0
r_0809,0
r_0810,0
r_0811,0
r_0812,0
r_0813,0
r_0814,0
r_0815,0
r_0816,0
r_0817,0
r_0818,0
r_0819,0
r_0820,0
r_0821,0
r_0822,0
r_0823,0
r_0824,0
r_0825,0
r_0826,0
r_0827,0
r_0828,0
r_0829,0
r_0830,0
r_0831,0
r_0832,0
r_0833,0
r_0834,0
r_0835,0
r_0836,0
r_0837,0
r_0838,0
r_0839,0
r_0840,1.72E-09
r_0841,1.72E-09
r_0842,0
r_0843,0
r_0844,0
r_0845,0
r_0846,0
r_0847,0
r_0848,0
r_0849,3.74E-08
r_0850,1.00E-12
r_0851,0
r_0852,0
r_0853,0
r_0854,0
r_0855,0
r_0856,0
r_0857,0
r_0858,0
r_0859,1.80E-08
r_0860,0
r_0861,2.23E-07
r_0862,0
r_0863,0
r_0864,0
r_0865,0
r_0866,0.020984746
r_0867,0
r_0868,0
r_0869,0
r_0870,0
r_0871,0
r_0872,0
r_0873,0
r_0874,0
r_0875,0
r_0876,0
r_0877,0
r_0878,0
r_0879,0
r_0880,0
r_0881,0
r_0882,0
r_0883,0
r_0884,0
r_0885,0
r_0886,0
r_0887,0
r_0888,0
r_0889,0
r_0890,0
r_0891,0
r_0892,0
r_0893,0
r_0894,0
r_0895,0
r_0896,0
r_0897,0
r_0898,0
r_0901,0
r_0902,-0.015738594
r_0903,0
r_0904,1.29E-08
r_0905,0
r_0906,-1.72E-09
r_0907,1.72E-09
r_0908,1.72E-09
r_0909,-1.72E-09
r_0910,1.72E-09
r_0911,0
r_0912,0
r_0913,-4.30E-08
r_0914,0
r_0915,0
r_0916,0
r_0917,0
r_0918,2.23E-07
r_0919,-1.12E-07
r_0920,0
r_0921,0
r_0922,0
r_0923,0
r_0924,0
r_0925,-1.38E-08
r_0926,0
r_0927,0
r_0928,0
r_0929,0
r_0930,0
r_0931,0
r_0932,0
r_0934,0
r_0935,0
r_0936,0
r_0937,0
r_0938,0.642583924
r_0939,-2.559117256
r_0940,-3.20170118
r_0941,-8.53E-16
r_0942,0
r_0943,0
r_0944,0
r_0945,-0.433239696
r_0946,0.433239689
r_0947,0
r_0948,0
r_0949,0
r_0950,0
r_0951,0
r_0952,0
r_0953,0
r_0954,0
r_0955,0
r_0956,8.36E-19
r_0957,8.36E-19
r_0958,0
r_0959,9.59E-08
r_0960,9.59E-08
r_0961,-3.74E-08
