id,time0,,,
r_0790,0,,,
r_0791,0,,,
r_0792,0,,,
r_0793,0,,,
r_0794,0,,,
r_0795,6.05E-18,,,
r_0796,0,,,
r_0797,0,,,
r_0798,0,,,
r_0799,0,,,
r_0800,0,,,
r_0801,0,,,
r_0802,0,,,
r_0803,0,,,
r_0804,0,,,
r_0805,0,,,
r_0806,0,,,
r_0807,0,,,
r_0808,0,,,
r_0809,0,,,
r_0810,0,,,
r_0811,0,,,
r_0812,0,,,
r_0813,0,,,
r_0814,0,,,
r_0815,0,,,
r_0816,0,,,
r_0817,0,,,
r_0818,0,,,
r_0819,0,,,
r_0820,0,,,
r_0821,0,,,
r_0822,0,,,
r_0823,0,,,
r_0824,0,,,
r_0825,0,,,
r_0826,0,,,
r_0827,0,,,
r_0828,0,,,
r_0829,0,,,
r_0830,0,,,
r_0831,0,,,
r_0832,0,,,
r_0833,0,,,
r_0834,0,,,
r_0835,0,,,
r_0836,0,,,
r_0837,0,,,
r_0838,0,,,
r_0839,0,,,
r_0840,6.05E-18,,,
r_0841,6.05E-18,,,
r_0842,0,,,
r_0843,0,,,
r_0844,0,,,
r_0845,0,,,
r_0846,0,,,
r_0847,0,,,
r_0848,0,,,
r_0849,0,,,
r_0850,0,,,
r_0851,0,,,
r_0852,0,,,
r_0853,0,,,
r_0854,0,,,
r_0855,0,,,
r_0856,0,,,
r_0857,0,,,
r_0858,0,,,
r_0859,0.00E+00,,,
r_0860,0,,,
r_0861,0,,,
r_0862,0,,,
r_0863,0,,,
r_0864,0,,,
r_0865,0,,,
r_0866,1.354373259,,,
r_0867,0,,,
r_0868,0,,,
r_0869,0,,,
r_0870,0,,,
r_0871,0,,,
r_0872,0,,,
r_0873,0,,,
r_0874,0,,,
r_0875,0,,,
r_0876,0,,,
r_0877,0,,,
r_0878,0,,,
r_0879,0,,,
r_0880,0,,,
r_0881,0,,,
r_0882,0,,,
r_0883,0,,,
r_0884,0,,,
r_0885,0,,,
r_0886,0,,,
r_0887,0,,,
r_0888,0,,,
r_0889,0,,,
r_0890,0,,,
r_0891,0,,,
r_0892,0,,,
r_0893,0,,,
r_0894,0,,,
